prompt,LLC-load-misses,dTLB-load-misses,cycle_activity.stalls_total,instructions,cycles
8<Eq.1)>Aw:XG7cH,15409891,3838402,9854174490,22890106286,21942950127
"?ug${q@_LRY,^tYD.KRHCDw O'O>;'?",15545694,3790631,9736113041,22824278679,21700276353
/SoAUaWLy<xTf.|iB-Oo>mV],16431748,3785213,9712069647,22768813475,21619500797
"mGA1$Hd~kNB2]cj,L?ZT0{+GSOh&Z(&~MNwRJ]",16291559,3819806,9766520103,22769670556,21667126217
"""E8`J=O~f(1Zb|ps]*pOzIVH[.#ce",15487558,3816706,9788605810,22780341750,21708558316
"A<c[zS1t,v`d\Vdq5zA",15315178,3807364,9285859618,22370748198,20797643614
VQ+j.GQI`kT8J0+P(%Yc.RugS[y[}[_$'^e;+Mv6,15638078,3863378,9746547800,22767383245,21726852727
"dlEiu&)a8.[wd7|8z7GmF+l=""Sdoy\eO,",15141234,3898342,9818827073,22763972051,21718453605
"(O:KSi^Ym^?2x&xAET3D<XMgF+$N'm{:P|#O60XO9,J;&c<B",15653117,3889582,9846540489,22827885727,21825000468
)?44mEzS1mz,15358679,3783448,9331803787,22490111701,20943317761
z3~'y}g7l;j'@1a'((q!H-,16091915,3877366,9821877095,22771448932,21788279425
([nI^$zmP$0,15407207,3831748,9612987355,22728967041,21471285995
}gVdnRI>uAuX GFdCJn@,15742651,3804177,9715841514,22823793197,21674127594
741U%aJ_IE8QzC=},16096203,3861170,9540019592,22608423413,21291692047
@JM{ L^wamIjd)L2~u^aK8BXr$1,16281146,3867663,9877003638,22865302608,21890078251
"dbzM`&ch%g/bm2_`:#&U!p-[}?9C""NL1eI^;oa/r|~t*rjU.4[",17227656,3838296,9773362250,22661488844,21575959200
`8tB#tnuZT`ZWQ8%D|%?_d=&qbT{x,15809974,3836001,9666673780,22688854318,21497967548
"""9]8v]R0'npMnABQgjZ",16313489,3848804,9871908755,22810794142,21855352963
"*;#!X""wN#tAthThCPyU92:K{I+;*B/O&_z_9|'S2",15848099,3845927,9728661163,22740232765,21620199890
#x?FQ0Jf~F,15662592,3834316,9546810039,22562370153,21302523694
VXBqzd+Yrt3CL>cpOwpKwW8|gwQK*cK:(s- /X~'+=,16189494,3823138,9900703932,22778819801,21842993956
"Xn6Yi}^""YWy}7N{EW!wy5Keu-9{D=TBtHU?UIdp1P[Tx",16049258,3814515,8641490148,21677874360,19473632460
DcT;*edymdLwmdX<B8%@g*v3;D(]D<Rd*]0Ybg,16151450,3821182,9809491006,22835202149,21784306709
"""~,-!v5+x+.<VD)R$9U$Z;dPEH\Zq BR97g!al7l;2z",15925217,3860396,9680351122,22653926597,21534819264
"&WE7%u3RgI}b#pNdUI@m@|9_""Hmq:b`#:BmJ=ea{7$QR M",16134703,3847925,9751174941,22785178006,21686116381
ILqFwSh\y-zZiIWMJJ2bmPZOQaSO,17200438,3834959,9757463504,22715267546,21610878179
lUznzJ9V#%43M5? @z_%*]Rp<aA[,16836118,3782571,9876132855,22802617905,21827641518
i.8PG!N_eDzEP+a2az5{]<0y~30)9,15803466,3826442,9714968413,22708075788,21627930046
"dh3z$>%eBDTvKC,ZS-8!dp/G$Pk@qQuv(Y+[a*P?NT",15789308,3869822,9661629403,22682382322,21499076813
"_8tn<doPu{;<~Cd~km;}l(V.vt8O:E^2VIh]=""",16077905,3797848,9539923022,22646297824,21329249098
"uBvO W=N>(t#bb+mUOR<%p2#jl~^:~""+iEym"".Ehq",15812207,3928560,9782678845,22731016512,21714919156
KI&`=]{=6m>RMfu,16415387,3832894,9784530518,22759574537,21686683370
"g:TVB\WY1""}sc%gVDSvs:Z=9w""\gOF'`a}x>cl~$KC--""""",16473822,3826492,9639239123,22581612153,21375371078
")7.A*ck23QZ""J]F>Mh|09=smo/Y2No7!4_13%`",16227233,3834394,9663030553,22678640405,21478726801
uUc.h*xXlI(#RG`I5<2rePa4}TJ*#,15572746,3864348,9952481510,22895250804,22045680978
"++h<,M;^0Ff\Yw|R5(e>`W""37^a!+kL!^b<(Y0e",15927977,3789096,9362044315,22413335040,20949268133
"4Z6!zyp-UXTB(cV%&Ub//<z"",r\<.~nND9dqUcRqf-ubG;2;*s",15923863,3842491,9560808503,22566154652,21274410562
vX;]|p#1gE.[zXo0XU 2Tb#.Xe?CF/c!bJsh[`On%isf<,16541664,3874271,9576403248,22519575747,21265040155
#\\i:e\wd(6,17066657,3896010,9776342527,22702201492,21593443657
n<k= e'8CSDp@nRU,16463859,3826109,9126127973,22185360086,20414546750
I+0 .gdfpHr76u,17250509,3835315,9790701542,22695704438,21567673840
I60P~]mrjIO ^=2{aWrTc2OK~I9L`sm Y,17559526,3852974,9492773203,22399497471,20980076996
"R@:A/BEBgp(6.zHwb]FMl,6]spa=QUt",16366907,3816656,9642137591,22682063332,21409855429
nYA!BRp5- con\ jim4k]R.R-z.U?F8YoCz-};KW_n!,16914001,3959444,9862598355,22664774593,21681039967
w*RiLl%\09=4+}oef[D:h['Ogm=eAwu!s`(Y;gl8REn-T4a7,17154995,3869923,9699453498,22534648991,21364287273
"5t(A]pc~w~TA^5'^q\EI[,D8<hjWc%+R",16833800,3828597,9741532611,22717307801,21575518410
0-!M3-yUgX*C,16588494,3834681,9634715708,22666817120,21426776042
WpeMK 7\NQ.#z'E3fJ8z=@C@etd7q)+W7H_0b]?eq<>MWCK,16712527,3909395,9696767900,22590300999,21475527852
1IY^DK'_DbsNB'aEXB!2Yv/:,17461575,3910166,9924266231,22725898296,21801582895
zv|9I]#GRkzYyLr8U;k2|;7.XwS9.GB,16730622,3942374,9896753619,22735469225,21811499442
t_[1!=5A 0c?d(UGM%w,16964376,3826459,9750523499,22690616933,21535589080
G7Po@9yJ/;3,16588383,3860216,9844813422,22867489552,21811744670
"?""SV>dEg h1'wk*_Xl9FUI#%""3i-",17040147,3840535,9912420612,22853240770,21880806463
"FAptlbpJV*(GEG[Nj~6%tB+><&'MR P,\?H/5oZtO^",16469386,3852395,9898459497,22775288098,21757989276
iEWA'+q@S>W2#Bb >P<!;(,16778379,3807737,9909158387,22901993563,21892092145
"8xF)b1]-]tp|m]""c.@c>AZ\7f,{Cf7jRFL]F",16644432,3851097,8466343671,21418468653,19002948839
r1ZcXiTwech2d%L['n {@%3C#UB,16842648,3803048,9745059623,22702677395,21559786633
"OVHs#OXA76z!)u?l7.3v[u""KhdMj>#t@Eh",17017733,3819996,9529554846,22445991315,21087268155
@jLQ CYM`c)Ed+H.<Y[^VtIuF|`r[1~Vdd7J+WP:*)fI;(?,17095418,3922293,9871073026,22737806162,21741154548
96Sn*0[T+5o0A5jzly&{=KwbaP!U*uiM,18999458,3892220,9815455256,22600108125,21504783196
snH.k+Yt?TEAN9@3ItPd~O)C],16575204,3887670,9856032922,22766697117,21788034601
"VFfe;j r""k&rZ@,'Y|=,[O",17301945,3893790,9921700373,22716416579,21797653242
"ovx3uIan+HVn9""`tEf>J~fVM-0KnlQO(EX`P",16722313,3839340,10711465577,22891414420,23293389332
"O0<""g&'::UXqt9F<s\s-1RZWgi",16006818,3865828,9813517402,22703870233,21675649885
#P#2sg-h2T6gw\67B,16965767,3893264,9907397121,22776612304,21845559281
"=_3&C!DGiFA29a""\""("",d7eRn;Zv-oNj8c(TnFj`iIGk^]",16649574,3870160,8925538316,21921183709,19993997359
|Q>bIb:eR<B8M -D3 D4$iD_IdWD+M ~xwMlhp'b7p,17555531,3834492,9871734513,22830366795,21807254279
lm$u*3/JFe.m-K9[q[:%OmT}d,18259623,3847774,9843749532,22665040160,21608717006
6l(;CI<|\!A_@8T*g,16382722,3881558,9812620257,22815424295,21729093634
G$vn3yG/e\^IRSA{D~8,15865773,4002406,9855797522,22719887307,21764803128
E9t].3nL_5fo[Vc,16458905,3851962,9826309204,22904340738,21821982723
fTBL87p]FB9,15599713,3844286,9625113193,22694278633,21451312239
"Msw~q^;=ia6hhzB.pIE7K;jE,&3-SXv DC|6FDCt@|$RU4>Y",15776648,3859188,9613421506,22675615898,21425239037
uCFJtYkZEB@;r5VQ4,15786329,3818512,9755376820,22809859015,21741967320
RU(H: EsYCp,15717585,3823679,9816031007,22774649879,21700235251
yJcbCR[5J$Q*L@AJ<$v:P 9yc8-_~\<=kN1L9=.,16685987,3914035,9923312641,22818894389,21856758305
"9U,V~XDe6 QrODG.Zb\R5O@Uhuh>[YTD*dHZwH",16905147,3794209,9786424178,22794506279,21665249760
KZU4dt/dP|S*`'Iofref%q^Mma6482~(hE iM0+h.DqV8~p,17156461,3849572,9734410088,22753113671,21557884353
.7=G#`D]0aP^c#SR#;2HGm6u({?,16879124,3810724,9920853779,22955580393,21932393079
"a|a&e,TB""8p<74<3=_/9kul""g/M?",18507960,3952686,10183807129,22870591846,22185681989
k0X?G>|]S&ZZ,17650503,3818035,9805584357,22749780791,21627039797
"')2u&WW=8_urDz_+""3u8>4RLtYqBrxCPQ3V7J# @&@=~1(i",17198960,3861443,9739042847,22697366909,21534814744
"u_JZ9g6@*,{V$lJ""DyyAnzNlA1Y|RN?Hn\]fpi)N^#(!27d1",18688830,3819840,9967677847,22822918206,21885797380
'O4>/w\_{4-[a%9p/Pf/X::tS$s0d~#^3Q!*N|{]Z,17391899,3811957,9642745700,22560037509,21303745441
Kc5M*[cJg-@G7]n's8vr='VAD9Q3?u,16946295,3839040,9700867468,22682735339,21521774878
87*-K6C8([Cq6u,16896516,3908268,9905167848,22822385768,21864326080
-]&|*@w48q-{?,18882995,3925736,9920468272,22693184785,21723221974
bKh4RVSx^8n|g+7*,18278801,4016239,9737693124,22557375735,21487992295
7.i=qsnJ6&LNV(\L_j?)^eKC@[J|^V]ap^G|KbT*JQ,20375085,3806678,9893066717,22589426831,21586031502
"!\l-L4=B""mrl#i\WgRS!T>N~6T%EDL",18215815,3868147,9572730301,22496030062,21163255746
"`~fJcU2_TMT-'FC<%i(9,Af5KW|8_ZPn",19308172,3909768,9749650209,22505569120,21387232622
ujLx4&mX#GJzSi1,17924173,3909028,9556756167,22429395742,21113939332
"F_pB.7$""<Nd]CLs@",16400087,3816375,9627867205,22631983042,21364246874
"}x=?<09dr,i'+HLkT|5;2^GX::tr8x$<g]$-F",18131030,3832275,9839429040,22693051829,21659965369
"K5 DY0XvBVTk_LRz8{3\!PM=,'u>zfTng`.m&=z~H",18281765,3852229,9794161951,22688373690,21606825075
aBB;[V|1Nb<L4,17126527,3923756,9815636583,22722480540,21721081871
Z7Vd^-x:bN4aJP>K8/=YcEk$>Ck;>7f9_5MKPZ3ndB,18021447,3859019,9830401694,22625459504,21601986840
cx#UVSnb#'cM`Ka{,17500583,3835943,9769362449,22669720007,21571681374
"T*,2Op""""%RLK@Dqxy+:.:}6",17546329,3849006,9736262602,22741730610,21619252891
{:v6v'WEG%2cYNm5@,18259516,3896150,9882932159,22662885757,21679459229
'ji~Q5q/)#Z!dC.h_oPmin:2t-kEi%,18036434,3841115,9748766298,22637408156,21504859423
";twu2Gb#]26h5dNTO $k8(u+J_R#1,p?G@P9z",18772906,3757928,10055890788,22905005785,22129009985
J(ueR/@G`$yT()[+:D!ebj(75r/TW,19203094,3846259,9990356249,22764476032,21900615022
"5f7lQ=4'i{,1U|%GO7u<>z;P&r!2/=jv.uA>m^rg",18492944,3860761,9803871607,22703514778,21612512159
">nNAm.<@hy(6wOdcovL@VGVPj]3J0{h\LpI23""-%",17264739,3824354,9664291118,22629958849,21411530465
F+!2?]@@P#n{s#$r.lhZ%FIxSI5s^38gbLo|u!MO`q{s.c]8,16221693,4075458,9836385443,22654422594,21706878045
"{s`#Nb9wt;EE{ ;=LLO5Hy5'IMk[""a",16122708,3826953,9954152222,22918790171,21984948025
"Bs9y"";XD?wPxDDYXIV1dWkR#@X)v=.",16109604,3805160,9824290110,22822963618,21780389730
"}+osYM],RUo6z[Rr<'_Y3E:myfS#1vdT^",16439944,3801796,9802201460,22829006219,21752047088
ck9c*X|ZG:PhqOK~zCohJ4VOlq@ZxDBxjgKJ @0Cf/yTz((B,16536207,3802478,9782168167,22798515654,21689960038
":L1Wsk4pssL-Y""[I%<>qp)b{bm,",16266298,3840352,9766905139,22795731035,21684491424
-&n?`R>=`&V-#.[iGV*bRKbI2N/4n6'^,16147293,4037066,9895595924,22756723709,21831577882
|v0(48~W/r|lV'%83_CZ. 051-xJ#J7PkRO/~J>)hK&],16441532,3865177,9789995106,22786397853,21684617350
J;a}'r[m3~`,17251164,3965554,10030892132,22915298579,22075925967
"/$/}u0)*_8La?E@]}Q-qrHP`aS""`z:gXfeACXII-",17453511,3880324,9959166054,22773577010,21862860054
m?y *uIVb)QDl[QLb)x#7 N<AWG+\DW@<`=zKy=0W MfAg,15940024,3814303,9929720461,22924417772,21961601950
(yeaW*HU]W]J=\vHRT,16289946,3811123,9741160139,22794969649,21667468406
`^_Yn+]c2m3_IjYj+Bv{|'jWT&)Y,16185489,4023815,9853553551,22766568182,21799060901
";\Z""-r+ijXo{%`XT]GTksM:j7mZ5Zh/oZ9Io7}|Nj",16231279,3833548,9890332534,22825320850,21807246424
!*:pLSt9(f&4zxFx7)jO\)SeWRx!SKSCwNAi^`;ZM3B`= #},16028735,3997570,9932264317,22802657475,21854700493
Km%U(&ySvMetmeR2@y2)oU'mK-_9.wj[8/|ku9*_ixr#,16424905,3852834,8352521856,20887696878,18247891874
`kWNP&pUu'>}h{H~$fv/kJ^H)qqza&x^h9q*)!i3,16161183,3824757,9665948308,22647139347,21429044233
";hjN@MC,)Z1@W^NUr""IWD@dcr!L"";:Q\d- }pw#Up&G",16129966,3851126,9769263673,22831885040,21680019289
gm:'4XR'9$?fO,16016714,3938565,9874249885,22821981184,21836355216
(gf|3)%Y{hA5apPRB^BAwAzZHAH`k\DE-T-+[=tn0ImM,16054654,3978543,9845735639,22780294257,21769087621
\$t+5H. %l6@ebpQEI+IKOl~wlo$,16758587,3831611,9756275819,22655900700,21556346350
W6.ZPVfb`K_{cRF',16639042,3829051,9550300626,22573649894,21222881329
"]2QWdZz.hXK""TCqq0?55L;SPJ:GETn)2T=@ec-?X<n2s!;",16335203,3916965,9873946968,22849700148,21862969602
"j,;FXO(p GD:&kf%[-05w)@4yWQ*bc!Q)[n",16958980,3827858,9702218190,22708580272,21492890258
"m_A-m hrd.f1u.pl:=>""5qu/G;2<Gu. ?/0){?:w""t?",16483236,3872366,9817301592,22706397821,21644712536
'^w_N|h0z?J%O_Oo$CT{,18184747,3841380,9867284844,22694701833,21683730279
ixI;yy0K[!3o52v,16606189,3802513,9706405608,22683506260,21514303903
"""jz}A$2\2;",17054012,3786792,9741638187,22664528549,21524303489
o.=I\dU)5Gw#lo-b9F/vCK,16351826,3899557,9809647614,22720432811,21647286537
TJ1xU<rFv65rRsD=)mai[(6Ct!#~mU'{y1b=MVGZXImCr-,16286115,3828965,9682639812,22692270314,21489144592
"rg+5^4!1+x-<KLQSui[a,<^m9*",16035344,3826538,9819162959,22865302858,21772381577
b>;+[9S<KdmO,16096479,3821292,9648452682,22689426394,21429374504
"O:Nu9PZ*3,-iS?O`)l<Qgy*",16037668,3801071,9568731411,22561702842,21236320704
"j+UKt.[aUtGww|$ 8g+1KH^I5XR,2D\e'>k.B#Amq.",16118761,3831424,9774458731,22771063487,21642288959
uEOkeIXlD o0d^&,15670171,3821571,9728811319,22747499338,21632250421
+Q[1=IS&y;^)R{<T]pnIGnK%CH[<aWZ,16021594,3814580,9616722896,22676356271,21428165058
"]ORczAD`x+&|X&Kc2bz{S4^ZnBA]""flA\nEEJfHWT",15874907,3914394,9466636261,22400189681,21097358894
"JixPTQ~]<zM\E~;~F3""8,/(*_jxtC{_{SiF]&>O",15931381,3866629,9796093226,22761380101,21703279236
"J[es+S@|)o""lO}k$~+/ZNbr=HytC0w.^o8]r$L#yhRKG?dAf^",17014907,4028389,9992639248,22779621645,22009016890
4B!3TwKfttG-P^wWhc(%u b9JuDPmTEfFb+,15752828,3925057,9767259577,22661542095,21646036277
";(9z_eFKRzgq""~2ms%",15951170,3898651,9783002781,22711791571,21657780182
"Dwq`/z,@,SAbTyYAxNSm&T",16216266,3841163,9828766924,22789808450,21757316871
"gE8~[;XR29!\HQ__]2q\M`3Q""Q1FIL'dh@G%d%Y!8eN",16140361,3831364,9763843523,22809769606,21716483883
"E""`m]kkl F=hRPiOJ6&fdrH)I,",15973441,3810132,9740897425,22828751911,21704421696
?.(#C4{wI#u^^.4Tz_o>r0A*!GP,16329449,3889014,9847327160,22777061148,21822220279
JRV(ky@3D\l 6$0TLGG1)%lgu0)&K'54b(K6;=+IZ?o}$_7u,15881493,3951102,9713738343,22707827954,21607700792
"n?""3:%-'9EPZ#D3ph\Wufy2PU%ea8yZ`i",16279457,3889024,9942168168,22867624351,22036941830
;v34OV;Ol9E*~;FJzfO%'e,15815620,3904832,9597023240,22519058744,21322502879
<x_~U6yc.bO-R$\('{*GG\jPC3(bB-yieDJ,16417707,3895524,9908681339,22775868582,21854314050
"|'j<{%^w,#+#&fut;d1",15998392,3803966,9669066674,22642359485,21454628595
~fXjtkiLJG&`/eUwpHbF~x$^dXa60[e/,16422690,3825899,9786923151,22804146458,21711194701
"nS#PV N_E7o(4$)>#""""[",16063514,3895896,9802511411,22692093239,21644610469
_`yi/iD2xN_+y7:&sk=/=&ma5DqRqz3),16363484,3893391,9859015038,22786301475,21852163108
"QbXRKT9#,5u*TtR",16167797,3808071,9503757635,22571088701,21219684666
"NEAR9^tFaNse7v<c""F.M.""G",17607306,3794157,9890752799,22807179826,21838479697
"qU*7*.P'""d ho#Vq3;G~X,&}~jla6@;k@w?!SHw\y",16116185,3845124,9373859845,22419727797,20945228487
"CIBNj]/mG[3JU1""iGlo7B?-\0lO",16035697,3811503,9897031995,22924885032,21910335577
Gtqob_~FG2/}Q\T:jYndaDYIwY(\u|e36U\6O%`@40~:&15>1t,16759128,3836218,9805509930,22780916143,21672004664
yd[J4QLeH{=cE}XF'b*s\YhJ*3,15962085,3830571,9760139911,22804799727,21636722488
"g02!:Q)'QDB);'x~rxH%It)-9fd,)zc""",16332097,3812945,9872668978,22812889546,21758408902
"B|k @""Y%>D7L7OCTr@DRh]O&'IyKSfDn",16629558,3866395,10739788335,22899313035,23365821035
g(Dg[S~bG$U(?5nT*3#(=8a=$:(LLRY53Dw?6Ql.1w5Y|QX0:S,16609994,3811635,9812850119,22795253285,21717275075
"%$`;ib2jJe/n&~Em7MM`x5Tps&9o""s1Aa}h<&R*c|>Pg/6$G]",17000507,3861628,9938355586,22892199815,21944574665
"%>jK&\St;,QureD/o#5~eGjaf'jg.zV*NAWxFY5>Ui",16182542,3791410,9813636176,22797495624,21730576290
"j4[c7`*w-&Zw['Y,FSI.XkfQFKpK%\mN{irg@'/s>""'}bHD",16310533,3838601,9842632368,22907356911,21884589412
YCk<+XNcN9.yj3@,16583204,3884539,9265462249,22173922458,20618339015
"=B#?kJ9f4^7/| .)$(C[rxYbV,WVQ1l9k}TR_U}]nw.TmZ",16258840,3881186,9663773257,22717284775,21539683636
"anwyT8=1L=-QVJ/,P:<o*8cX7Ln,V7%ZZ,1_mE'`ge",17454242,3844133,9887095653,22730453174,21842664200
]>-3e=1i:;hZUgJf;U{]j'O,15881426,3853734,9878323488,22787641305,21834824522
iey^%(WL7gYX}3QhobF[V|8,15884863,3771086,9618660083,22691914033,21427422746
"x?+}C zlBDM ,J/VI",16183369,3777144,9585924378,22654127991,21354484316
"q""?O7>n>cL34)BR-tqR`fKmJ7>iOh7P,d%K,`+[P](_^J",16160081,3880627,9695914800,22580491948,21452728268
}d:&%g]lMqVjd=<?34NFk^EWX,16549201,3878723,9890901700,22774207287,21871909805
"H#@Q[UBz!H?KOERAW#t""blm-zH.1(~G?",16120119,3805314,9743988814,22782244439,21648606610
u{$gd^.q0lAVZaE%s]lx>W<hA<~P,16344711,3799772,9797217176,22823604651,21736615760
"%9-5?~Yo%HfX3?HE%2?D~0AZ0,HW|NiKXq/1W=ZyKG",16276987,3852580,9667370745,22662663414,21486312614
"anI""WDJe!w9GhyMB{C!!8JQ350 ^sZuYA?$Q",16465157,4007704,9933895957,22784681803,21954452371
"yoPIRl3'icX`rQ\8$=eMFg'""w~lYBU8S#Ciq#A<]7",15771278,3813969,9618029142,22713320947,21448931965
"{|@Br{)6\X=BnE_H=tHOtDOm{waR@eKhH{zc75qU}c,df'#B-}",16135782,3933436,9620641847,22653415520,21431617887
"9#)bq^ t=_2W<7t8V]4f#MsYU=e|8vk'O{k+28jb""VjqV",15875855,3801863,9541986990,22549577516,21208796827
h`(x25N<L.K?mdyE4K4fQ@xH-Llz'^lzHj$Wk#xp,16147828,3866820,9791559598,22800163685,21739220614
"~r?9\7u&diDW15'?$}g!5""k`)^'*dnxi",15786811,3841159,9806206583,22842023283,21766597364
f?\$<XqpJj2Z/b|Dp,15886120,3793271,9806281913,22795137761,21712423856
".V%dki.C?/;P:xH<*"" %J+Zn8,cAxC7O4@nd_kvsf}/yl7",17614881,3815507,9771219224,22687379908,21576843543
"voX\,C=zAggLl=;+6L\IZSzn/",16029595,3808932,9537224081,22605314467,21251954400
{?#K9nupOoNb'U4[J{$d[,16203199,3943188,9656247429,22538346469,21429718424
~+^wqM4]J^WJGh\+WDS:~o#E5t2RZiJyRre),16357523,3851893,9768812936,22811611956,21683755287
"/+us61sD7d,8lLuA3@r`'Rv-\i)*x.R8hDC",17432796,3798077,9708701099,22653053238,21477070387
LrZL=1g$FS/hFl1dhG>5~8N*zv/T,16331119,3794598,9895610254,22822242871,21873353038
"Q<b~x1q~Xc|""gXBPkU<1\XFpR# J#6UAfvyy&dr7*IY!,$7+S",16079081,3789923,9828372659,22809701101,21768634022
"=WS?6U\'@U*V)1aI.Y2\&|=)]u3oyI,)I:@#I?:OVW(?$JOb""=",16722687,3818143,9852986003,22835890591,21800196738
"w<1j(7qJYsC7#&<JhgG9YD##.#w%!JgZbKIbO""y0b:,V",16745819,3801565,9805565411,22805292000,21713675147
Zp6M3<eP4tV/Z^j=gkbn-11xuydZ(CUTl/{JU%Y,17768658,3818175,9704879647,22667885942,21464457783
* R#|;$PGdygmF,16805215,3787383,9684381370,22695126054,21496299905
O& YeRm%(B6)'`/z\82)K=]Bp;V),16729216,3849394,9427214032,22438975228,20962547467
@=}KnC>?[.*Y\E7?~Vsbq xDPt^-}s,16561668,3819189,9686469462,22646817716,21465628344
D9iJq0$ecB=k+c,16430663,3872669,9900151240,22882016834,21879575185
"M`cx*"";*1IdtEh)2w ErAR4|F.K#.,$M+fp\DY",16561352,3905769,9840959667,22735472126,21736173134
Lb;zb6?+:pCVJ;|8X=%3cFp-'N7<R[/<g)*[:gZV #NDk,16448288,3878112,9922722148,22803989536,21879957953
[YTwAP:pG8vg\dgX#TDuW]q5w,16325212,3850557,9883502232,22891801441,21862924542
\7h;$(BCybow'JgmV2[+UuJO#]ga9442k^*07]M7X,16052827,3906138,9780954705,22810610427,21725873955
=.hOKU#_ZEg{,16594939,3882996,9797581608,22689807812,21657375991
|lvRAF3gvKxUY6Sv8aH {=9x .,15832073,3777181,9547144648,22568367922,21236158323
]iC9V{Gv'0oN1}I2<H4[[9VpP.7^l(7eGr1A$alPA51,17350729,3832332,9693655200,22672246730,21472512307
I^|kxI>G5f{>R=~%&*Y_E}h2_\m%o*afe'RN%c{QW,15650662,3815599,9652085133,22666116699,21474136445
"i.""S39`i$( ]9nMXU\R#j&@(y3p",16321400,3871566,9752611260,22773215903,21650675867
l=ch2b6Q:bqS}9.H$QzI(\z|^,16152218,3832446,9645699686,22670818347,21439886704
@0I+~gMnw@-,16410445,3899917,9793378521,22671172230,21640058654
#y@5V>A%x=e9yri-f@L`9HS; g$:LsPvganA515v;V,17034196,3820775,9792140045,22751353304,21684221239
"`.z2K*J&`F9]f>ZC""Ml' yr/l'k?PuyG>9",17916258,3816599,9690395733,22634057734,21459419000
"(RyOc-Uh+ |o1gv:5Ep=4y/E""rH",16445605,3850683,8761478675,21738616427,19607902506
"/nx&d6Trotxf?TvBd?""FF[!R+~I~Xdh_\(>gnG(8#wD6[a",16077868,3916967,9909810316,22780730384,21873194903
"ct+;**sb?""&F,R",15628469,3821294,9717895444,22809931708,21652497171
"P,OR20Y(.3?>Xy>])wmJXX3Iv=>R3J",17233553,3902396,9901871602,22750591637,21811323870
"vg/rtycbe)5rb-8}$,?n2:R9P9dgm1#.-zs}0b~Wrz|,dT",15755107,3829630,9728453043,22771469918,21626197139
"7 ghe&)::~:Nv,,RH&XI",16358199,3859995,9889248974,22783924688,21812295840
"OHY/r.M}5ox/ Pn[""TT-t-jJ6%YS",15585401,3779799,9700427677,22777396325,21586650823
"]\O=zY$c]R;}U{rx75V%iWR4d-T1-f,89l,",16440145,3811059,9844490935,22873577984,21819889564
"]l&]|""`^^l~ZgAh s\wcSbGk #-4a?Q>=8TG_G21{`k",16049959,3802021,9808000910,22776560819,21709127886
2?+m<aT9~*|t3}O2\G!s1K`6;%g96[3(XP0vq?;-qhF>XS?/#,16063500,3830361,9816153492,22867072939,21798894866
",O]IsTM>p%43X9KJu",16655302,3906692,9896925178,22779078198,21809149863
~Kk5E46sF/pjk9Ya}^{SQr,19087028,3842767,10010485432,22799513337,21920439743
"dDz5D4<xh,ne.e?meGe([T#q8.kQOviQ+",16299818,3986236,9879640390,22728580267,21822296096
"!6n,&udFbe nmhcAN",16949999,3866780,9947270419,22843256407,21936506748
}J?;'u`$Z7\*2q7?TYCat4ZpYX,16688841,3859585,9864653540,22719805023,21735761222
"cx8at.CE,p2N`DyBX*3#}dNf+|~YbW>ed4#!MV8""B",16133560,3852784,9628984681,22607230940,21375957184
MOS*#GYyTw%+njH8E@vRzK1@[,15974414,3965223,9659281503,22626595945,21425728445
<OkE;)q`1mg6\>jP8 q8-AN|c4Zr2.Fa}K>@_iD1c;-(=`\,15943985,3825747,9428070591,22495889797,21041708135
[ %LBHEjCP 5_`)[8nic*>yd&HE[I?YHY<];~(,16222642,3828763,9670800120,22701970519,21473577572
Z}@dN*&].eT,16532878,3913743,9943031632,22793252985,21915147437
vsWPf~c6x=w,16205345,3863355,9897737498,22794941627,21818207529
"UZ\ioyS8,1Mhw5:RG/isiVAgSZnD5xQ:",17061648,3929767,9802600559,22650631915,21648480302
"J`Hq<~T""a_+T4,0RXK\X82.j}e]1",16525471,3963596,9941931910,22788166910,21927960368
7MqlUmcPVRda4Bh`'^LsF1@-ZU+,16266569,3763616,9603443869,22647926795,21365863623
t.O\fZcb?DnI&4rH&4c4,16537152,3809840,9629823770,22670870718,21416170810
wS`VAdM2S0EG/N4`#.k5Mv-Q|*,16647466,3799938,9624913500,22654079835,21374744929
;l1dM>OwV%!*DA6rQ%<+,16508636,3847737,9559038298,22611774471,21277693048
`@7WaVtq<kA)y83WvYtECwk^Gz,17144756,3850693,9548540626,22548694185,21230027207
"ka70#~@9DvG>v""EqCz R1)wD9CU#*hH|yS%U%N@",16250825,3771298,9785111775,22752547981,21666893935
"qVXEh{?@_U:Um^y~wWR@vP]%6`_$`p&{(x!6o,kil<",16585594,3840860,9866667059,22818094614,21822480752
j.g~2b;T\N|K|LssjC\;1:V^10!ZU]Z1EDEZ{,16548229,3790468,9869096917,22800751298,21778229049
R^m|:[`MRG*DRSGE.Rd|b^yAh^E\R*Kz`;3=J{59D0KKbw*,16291194,3923458,10655183333,22760330941,23229623164
fKzOZRCBzWgE,15855982,3806998,9620467162,22692962792,21444750341
"ubK~q,?,#KlG2iz12AX(R<7ZV^^N> e<84of",16398602,3828120,9763087725,22713517621,21612345542
"|}onbNBk""`(W8d!pae[\"">>*",16204908,3865426,9827371635,22754518853,21739752672
`:YDI+*G3'!;CI~C9EuHy],16436130,3805300,9808846047,22839430386,21762142078
"?u""u )_U!:hvt&O'Z^H#}W1>bhgRK)""!`IaAl-",16560007,3828068,9715258347,22679521371,21531151983
